image_path     , text                                                                                                     , theme    , theme_num, sentiment, sentiment_num, emotion   , emotion_num, dominant_colour, dominant_colour_num, attention_score, attention_score_num, trust_safety, trust_safety_num, target_audience , target_audience_num, predicted_ctr, predicted_ctr_num, likelihood_shares, likelihood_shares_num, keywords                                    , monetary_mention, call_to_action, object_detected
sample_2200.jpg, Elevate your home decor instantly with the vibrant colors and sleek design of this sofa                  , Home     ,         6, Positive ,             0, Excitement,           3, Red            ,                   0, Low            ,                   2, Safe        ,                0, General         ,                   0, High         ,                 0, Low              ,                     2, elevate decor vibrant                       ,                 , Book Now      , Sofa
sample_2201.jpg, Discover a fresh level of comfort with this new sofa design for your living space                        , Home     ,         6, Neutral  ,             2, Excitement,           3, Black          ,                   1, Medium         ,                   1, Questionable,                2, Young Adults    ,                   7, Medium       ,                 1, High             ,                     0, comfort new sofa design                     , $14.99          , Buy Now       , Sofa
sample_2202.jpg, Explore modern features in this versatile sofa that updates your home decor instantly                    , Home     ,         6, Neutral  ,             2, Excitement,           3, Grey           ,                   5, Medium         ,                   1, Questionable,                2, Fashionistas    ,                   3, Medium       ,                 1, High             ,                     0, modern features versatile sofa              , $499            ,               , Sofa
sample_2203.jpg, See what this durable sofa can do to enhance your daily relaxation time                                  , Home     ,         6, Neutral  ,             2, Excitement,           3, Black          ,                   1, Low            ,                   2, Questionable,                2, Food Lovers     ,                   1, Low          ,                 2, Medium           ,                     1, durable sofa relaxation time                , $29.99          , Order Now     , Sofa
sample_2204.jpg, Try out the improved cushioning and style of this latest seating collection today                        , Home     ,         6, Neutral  ,             2, Excitement,           3, Green          ,                   3, Medium         ,                   1, Questionable,                2, General         ,                   0, Medium       ,                 1, Low              ,                     2, improved cushioning style seating           , $29.99          , Learn More    , Sofa
sample_2205.jpg, Upgrade your room with this functional sofa offering new ways to sit back                                , Home     ,         6, Neutral  ,             2, Excitement,           3, Black          ,                   1, High           ,                   0, Questionable,                2, Travelers       ,                   5, Low          ,                 2, Low              ,                     2, upgrade room functional sofa                , $10 off         , Try Now       , Sofa
sample_2206.jpg, Experience the difference of advanced fabric technology in this contemporary living room set             , Home     ,         6, Neutral  ,             2, Excitement,           3, White          ,                   4, Medium         ,                   1, Questionable,                2, Tech Enthusiasts,                   2, High         ,                 0, Low              ,                     2, fabric technology living room               , $9.99           , Sign Up       , Sofa
sample_2207.jpg, Find your perfect match with this adaptable sofa designed for modern homes everywhere                    , Home     ,         6, Neutral  ,             2, Excitement,           3, Yellow         ,                   6, High           ,                   0, Questionable,                2, Investors       ,                   6, Medium       ,                 1, High             ,                     0, adaptable sofa modern homes                 , 15% off         , Get Started   , Sofa
sample_2208.jpg, Check out the sleek lines and support of this brand new seating option                                   , Home     ,         6, Neutral  ,             2, Excitement,           3, White          ,                   4, Low            ,                   2, Questionable,                2, Car Enthusiasts ,                   4, Medium       ,                 1, High             ,                     0, sleek lines support seating                 , 30% off         , Try Now       , Sofa
sample_2209.jpg, Do not waste your hard earned money on a sofa that sags within months                                    , Home     ,         6, Negative ,             1, Fear      ,           4, White          ,                   4, Medium         ,                   1, Unsafe      ,                1, Professionals   ,                   9, High         ,                 0, High             ,                     0, waste money sofa sags                       , $499            , Subscribe     , Sofa
sample_2210.jpg, Avoid the frustration of faded fabrics and worn out cushions on your new couch                           , Home     ,         6, Negative ,             1, Fear      ,           4, White          ,                   4, Medium         ,                   1, Unsafe      ,                1, Families        ,                   8, High         ,                 0, Medium           ,                     1, frustration faded fabrics cushions          , $19.99          ,               , Sofa
sample_2211.jpg, Stop risking your back pain with poorly constructed sofas that lack proper support                       , Home     ,         6, Negative ,             1, Fear      ,           4, Blue           ,                   2, Medium         ,                   1, Unsafe      ,                1, General         ,                   0, High         ,                 0, Low              ,                     2, back pain support construction              , $10 off         ,               , Sofa
sample_2212.jpg, Protect your home investment by choosing a sofa that will not break easily                               , Home     ,         6, Negative ,             1, Fear      ,           4, Grey           ,                   5, Medium         ,                   1, Unsafe      ,                1, Travelers       ,                   5, Medium       ,                 1, Low              ,                     2, protect investment sofa break               , $99             ,               , Sofa
sample_2213.jpg, Do not settle for a cheap couch that ruins the look of your room                                         , Home     ,         6, Negative ,             1, Fear      ,           4, Blue           ,                   2, Medium         ,                   1, Unsafe      ,                1, General         ,                   0, Medium       ,                 1, Low              ,                     2, cheap couch room look                       ,                 ,               , Sofa
sample_2214.jpg, Beware of hidden structural defects in low cost sofas that fall apart fast                               , Home     ,         6, Negative ,             1, Fear      ,           4, Grey           ,                   5, High           ,                   0, Unsafe      ,                1, Families        ,                   8, Medium       ,                 1, High             ,                     0, structural defects low cost                 , $14.99          , Order Now     , Sofa
sample_2215.jpg, Do not let an uncomfortable sofa destroy your relaxation time after a long day                           , Home     ,         6, Negative ,             1, Fear      ,           4, Black          ,                   1, High           ,                   0, Unsafe      ,                1, Families        ,                   8, Medium       ,                 1, Low              ,                     2, uncomfortable sofa relaxation time          , $199            , Learn More    , Sofa
sample_2216.jpg, Think twice before buying a couch that will show dirt and stains immediately                             , Home     ,         6, Negative ,             1, Fear      ,           4, Black          ,                   1, High           ,                   0, Unsafe      ,                1, Tech Enthusiasts,                   2, Medium       ,                 1, High             ,                     0, buying couch dirt stains                    , $499            ,               , Sofa
