image_path,text,theme,theme_num,sentiment,sentiment_num,emotion,emotion_num,dominant_colour,dominant_colour_num,attention_score,attention_score_num,trust_safety,trust_safety_num,del1,target_audience_num,predicted_ctr,predicted_ctr_num,likelihood_shares,likelihood_shares_num,keywords,del2,del3,object_detected,img_desc
sample_0001.jpg,Experience the ultimate cheese pull and bring a smile to your face today,Food,0,Positive,0,Joy,0,Red,0,Medium,1,Safe,0,General,0,High,0,Medium,1,cheese smile today,$5 off,Get Started,Pizza,crispy pizza crust with melty cheese filetype png
sample_0002.jpg,Gather your friends for a slice of happiness that tastes absolutely amazing,Food,0,Positive,0,Joy,0,Brown,7,Low,2,Safe,0,Food Lovers,1,Low,2,High,0,friends happiness slice,$29.99,Sign Up,Pizza,hot fresh pizza slice on wooden board
sample_0003.jpg,Bite into a crispy crust loaded with toppings for pure joy,Food,0,Positive,0,Joy,0,Brown,7,High,0,Safe,0,Food Lovers,1,High,0,Medium,1,crispy crust toppings,$5 off,Book Now,Pizza,cheesy pizza pull with bubbling cheese string
sample_0004.jpg,Treat yourself to a hot fresh pizza and enjoy every single bite,Food,0,Positive,0,Joy,0,White,4,Medium,1,Safe,0,Tech Enthusiasts,2,Medium,1,High,0,hot fresh treat,15% off,Get Started,Pizza,golden pizza crust edge with toppings
sample_0005.jpg,Satisfy your cravings now with the most delicious pizza you ever tasted,Food,0,Positive,0,Joy,0,Green,3,High,0,Safe,0,Travelers,5,High,0,High,0,cravings delicious pizza,$49.99,Order Now,Pizza,closeup of pizza toppings pepperoni olives
sample_0006.jpg,Melt away your worries with a cheesy slice of heaven tonight,Food,0,Positive,0,Joy,0,Yellow,6,High,0,Safe,0,Investors,6,Medium,1,Medium,1,melty cheese heaven,,Learn More,Pizza,steaming hot pizza slice steam rising
sample_0007.jpg,Make any occasion special with the perfect pizza everyone will love,Food,0,Positive,0,Joy,0,Red,0,High,0,Safe,0,Families,8,Low,2,Low,2,special occasion love,$29.99,Shop Now,Pizza,thin crisp pizza base with herbs
sample_0008.jpg,Indulge in a mouth watering pizza that delivers pure happiness in slices,Food,0,Positive,0,Joy,0,Blue,2,High,0,Safe,0,Professionals,9,High,0,Low,2,mouth watering happiness,30% off,Shop Now,Pizza,large pizza with extra cheese stretch
sample_0009.jpg,Enjoy a solid meal with a standard pizza that fills you up,Food,0,Neutral,2,Joy,0,Blue,2,High,0,Questionable,2,Tech Enthusiasts,2,High,0,Low,2,solid meal standard,$9.99,,Pizza,pizza slice on red checkered tablecloth
sample_0010.jpg,A decent option for dinner when you want something simple and easy,Food,0,Neutral,2,Joy,0,Blue,2,High,0,Questionable,2,Food Lovers,1,High,0,Medium,1,decent dinner simple,$9.99,Try Now,Pizza,cheddar melt over pizza slice top view
