image_path,text,theme,theme_num,sentiment,sentiment_num,emotion,emotion_num,dominant_colour,dominant_colour_num,attention_score,attention_score_num,trust_safety,trust_safety_num,target_audience_num,predicted_ctr,predicted_ctr_num,likelihood_shares,likelihood_shares_num,keywords,object_detected,img_desc,target_audience,monetary_mention,call_to_action
sample_0001.jpg,Experience the ultimate cheese pull and bring a smile to your face today,Food,0,Positive,0,Joy,0,Red,0,Medium,1,Safe,0,0,High,0,Medium,1,cheese smile today,Pizza,crispy pizza crust with melty cheese filetype png,Pizza Lovers,Save $5 on large pizza,Order Now
sample_0002.jpg,Gather your friends for a slice of happiness that tastes absolutely amazing,Food,0,Positive,0,Joy,0,Brown,7,Low,2,Safe,0,1,Low,2,High,0,friends happiness slice,Pizza,hot fresh pizza slice on wooden board,Pizza Lovers,Buy one get one free,Grab Yours
sample_0003.jpg,Bite into a crispy crust loaded with toppings for pure joy,Food,0,Positive,0,Joy,0,Brown,7,High,0,Safe,0,1,High,0,Medium,1,crispy crust toppings,Pizza,cheesy pizza pull with bubbling cheese string,Pizza Lovers,Enjoy 20% off today,Get It Now
sample_0004.jpg,Treat yourself to a hot fresh pizza and enjoy every single bite,Food,0,Positive,0,Joy,0,White,4,Medium,1,Safe,0,2,Medium,1,High,0,hot fresh treat,Pizza,golden pizza crust edge with toppings,Pizza Lovers,Get a free side,Add to Cart
sample_0005.jpg,Satisfy your cravings now with the most delicious pizza you ever tasted,Food,0,Positive,0,Joy,0,Green,3,High,0,Safe,0,5,High,0,High,0,cravings delicious pizza,Pizza,closeup of pizza toppings pepperoni olives,Pizza Lovers,Half price any pizza,Buy Today
sample_0006.jpg,Melt away your worries with a cheesy slice of heaven tonight,Food,0,Positive,0,Joy,0,Yellow,6,High,0,Safe,0,6,Medium,1,Medium,1,melty cheese heaven,Pizza,steaming hot pizza slice steam rising,Pizza Lovers,Cheesy delight $3 off,Order Now
sample_0007.jpg,Make any occasion special with the perfect pizza everyone will love,Food,0,Positive,0,Joy,0,Red,0,High,0,Safe,0,8,Low,2,Low,2,special occasion love,Pizza,thin crisp pizza base with herbs,Pizza Lovers,Special family pack $15,Grab Yours
sample_0008.jpg,Indulge in a mouth watering pizza that delivers pure happiness in slices,Food,0,Positive,0,Joy,0,Blue,2,High,0,Safe,0,9,High,0,Low,2,mouth watering happiness,Pizza,large pizza with extra cheese stretch,Pizza Lovers,Free drink with order,Claim Offer
sample_0009.jpg,Enjoy a solid meal with a standard pizza that fills you up,Food,0,Neutral,2,Joy,0,Blue,2,High,0,Questionable,2,2,High,0,Low,2,solid meal standard,Pizza,pizza slice on red checkered tablecloth,Pizza Lovers,Get $2 discount,Buy Now
sample_0010.jpg,A decent option for dinner when you want something simple and easy,Food,0,Neutral,2,Joy,0,Blue,2,High,0,Questionable,2,1,High,0,Medium,1,decent dinner simple,Pizza,cheddar melt over pizza slice top view,Pizza Lovers,Easy dinner $8 combo,Order Today
sample_0011.jpg,Get a quick slice of pizza for a satisfactory lunch break today,Food,0,Neutral,2,Joy,0,Green,3,High,0,Questionable,2,7,Medium,1,Low,2,quick slice lunch,Pizza,pepperoni pizza with crispy edges filetype png,Pizza Lovers,Lunch special $4 off,Grab Now
sample_0012.jpg,Consistent taste and quality make this a reliable choice for your hunger,Food,0,Neutral,2,Joy,0,Yellow,6,High,0,Questionable,2,7,High,0,Medium,1,consistent taste reliable,Pizza,margherita pizza fresh basil leaves,Pizza Lovers,Reliable savings 10% off,Shop Now
sample_0013.jpg,Stop eating cold soggy pizza that leaves you feeling disappointed and hungry,Food,0,Negative,1,Anger,1,Blue,2,Low,2,Unsafe,1,0,High,0,Low,2,cold soggy disappointed,Pizza,pizza slice with bubbling mozzarella cheese,Pizza Lovers,No more cheap pizza,Upgrade Now
sample_0014.jpg,Do not settle for skimpy toppings when you deserve a real meal,Food,0,Negative,1,Anger,1,Blue,2,High,0,Unsafe,1,5,Medium,1,High,0,skimpy toppings real,Pizza,double cheese pizza stretch pull closeup,Pizza Lovers,Premium toppings $5 extra,Order Today
sample_0015.jpg,Avoid places with late delivery and rude service that ruin your night,Food,0,Negative,1,Anger,1,White,4,Medium,1,Unsafe,1,2,High,0,Low,2,late delivery rude,Pizza,oven baked pizza golden crust texture,Pizza Lovers,Free delivery on orders,Get It
sample_0016.jpg,Say no to greasy cardboard pizza and demand a better slice now,Food,0,Negative,1,Anger,1,White,4,High,0,Unsafe,1,5,Low,2,Medium,1,greasy cardboard demand,Pizza,pizza slice showing layered toppings closeup,Pizza Lovers,Say goodbye to grease,Try Now
sample_0017.jpg,Why pay for a burnt bottom pizza when you want perfection,Food,0,Negative,1,Anger,1,Red,0,High,0,Unsafe,1,7,Medium,1,Medium,1,burnt bottom pay,Pizza,crispy pizza base with olive oil drizzle,Pizza Lovers,Perfect crust guarantee,Order Now
